name,avg_price,car_info
BYD Song 2022 г.,16 200 000 ₸,"Город
Алматы
Поколение
2019 - н.в. 1 поколение рестайлинг
Кузов
кроссовер
Двигатель
электрический
Коробка передач
автомат
Привод
передний привод
Руль
слева
Растаможен в Казахстане
Да"
Bentley Flying Spur 2014 г.,55 000 000 ₸,"Город
Алматы
Поколение
2013 - 2019 2 поколение (4W)
Кузов
седан
Объем двигателя, л
4 (бензин)
Пробег
45 300 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
серый металлик
Растаможен в Казахстане
Да"
Bentley Bentayga 2016 г.,77 000 000 ₸,"Город
Алматы
Поколение
2015 - н.в. 1 поколение (4V1)
Кузов
кроссовер
Объем двигателя, л
6 (бензин)
Пробег
56 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Растаможен в Казахстане
Да"
Bentley Continental Flying Spur 2007 г.,15 557 500 ₸,"Город
Алматы
Поколение
2005 - 2012 1 поколение (3W)
Кузов
седан
Объем двигателя, л
6 (бензин)
Пробег
26 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
Bentley Continental GT 2005 г.,11 928 571 ₸,"Город
Алматы
Поколение
2003 - 2011 1 поколение
Кузов
купе
Объем двигателя, л
6 (бензин)
Пробег
147 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
Bentley Bentayga 2018 г.,90 000 000 ₸,"Город
Алматы
Поколение
2015 - н.в. 1 поколение (4V1)
Кузов
кроссовер
Объем двигателя, л
4 (бензин)
Пробег
30 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный
Растаможен в Казахстане
Да"
Bentley Continental GT 2012 г.,33 300 000 ₸,"Город
Алматы
Поколение
2011 - 2015 2 поколение
Кузов
купе
Объем двигателя, л
4 (бензин)
Пробег
37 300 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
белый
Растаможен в Казахстане
Да"
Bentley Continental Flying Spur 2007 г.,15 557 500 ₸,"Город
Астана
Поколение
2005 - 2012 1 поколение (3W)
Кузов
седан
Объем двигателя, л
6 (бензин)
Пробег
77 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
белый
Растаможен в Казахстане
Да"
Bentley Continental GT 2022 г.,227 000 000 ₸,"Город
Алматы
Поколение
2017 - н.в. 3 поколение (3S)
Кузов
кабриолет
Объем двигателя, л
4 (бензин)
Коробка передач
робот
Привод
полный привод
Руль
слева
Цвет
зеленый металлик
Растаможен в Казахстане
Да"
Bentley Continental GT 2006 г.,14 575 000 ₸,"Город
Астана
Поколение
2003 - 2011 1 поколение
Кузов
купе
Объем двигателя, л
6 (бензин)
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
белый металлик
Растаможен в Казахстане
Да"
Bentley Bentayga 2018 г.,89 000 000 ₸,"Город
Алматы
Поколение
2015 - н.в. 1 поколение (4V1)
Кузов
кроссовер
Объем двигателя, л
6 (бензин)
Пробег
46 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
серый металлик
Растаможен в Казахстане
Да"
Bentley Continental GT 2006 г.,14 575 000 ₸,"Город
Караганда
Поколение
2003 - 2011 1 поколение
Кузов
купе
Объем двигателя, л
6 (бензин)
Пробег
90 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
серый металлик
Растаможен в Казахстане
Да"
Bentley Continental Flying Spur 2006 г.,10 554 736 ₸,"Город
Алматы
Поколение
2005 - 2012 1 поколение (3W)
Кузов
седан
Объем двигателя, л
6 (бензин)
Пробег
172 000 км
Коробка передач
автомат
Привод
полный привод
Руль
слева
Цвет
черный металлик
Растаможен в Казахстане
Да"
